iteration,episode,policy,value,entropy
0,94,-0.0014090079106002424,0.013384193699393008,-2.0791774458355374
1,100,-0.0021662767196378102,0.01453141967067495,-2.0773350497086844
2,100,-0.0025367032515835795,0.008627792982022382,-2.074615137444602
3,100,-0.0030559912952917833,0.010195995218560306,-2.0709992349147797
4,100,-0.0034345288950135,0.010887801446693225,-2.068149311674966
5,100,-0.0031163966939655235,0.009903166494849656,-2.0684222843911915
6,100,-0.004202094855069542,0.011081630267047634,-2.064956118663152
7,100,-0.004783264548879945,0.013417232826921262,-2.0596410599019794
8,100,-0.005129983499904888,0.009573303926218715,-2.058463239007526
9,100,-0.006014702633870507,0.014536140900519159,-2.0491104324658713
10,100,-0.005271379507677112,0.01628661950558631,-2.050111495786243
11,100,-0.006365901024158423,0.01593323634006083,-2.0412894354926214
12,100,-0.004639098087662003,0.014022485689363547,-2.035029391447703
13,100,-0.006169702356500138,0.014206399843614135,-2.0337593058745065
14,100,-0.005698368176429843,0.016734929134448368,-2.0251751840114594
15,100,-0.005523601653395518,0.014496822556894686,-2.020810352431403
16,100,-0.006241839258614669,0.017570704079440072,-2.001554293764962
17,100,-0.0071590817840640536,0.016366332549498312,-2.0056566115882664
18,100,-0.0071304336484495755,0.017108645057305694,-2.0020854522784552
19,100,-0.008383588407822471,0.019017797739555437,-2.0005756600035562
20,100,-0.009582855020804951,0.020888568807600275,-1.9957652654912736
21,100,-0.010316141387900442,0.022266925778239965,-1.9968891226583056
22,100,-0.009546361898578147,0.024241556723912556,-1.9825730472803116
23,100,-0.010275036310000965,0.024317885749042034,-1.975615491469701
24,100,-0.010571103193797171,0.02388220872833497,-1.965273517701361
25,100,-0.010399121531210968,0.024476854803247586,-1.9537871546215482
26,100,-0.012350911113672838,0.02082541486662295,-1.9438504013750288
27,100,-0.01028681626977838,0.01851288528026392,-1.92542578611109
28,100,-0.011546835896701345,0.016243951796140108,-1.9065631528695424
29,100,-0.01199348054554624,0.016809554227317374,-1.8900056415134006
30,100,-0.010533274138247685,0.015462680887948308,-1.8711826768186357
31,100,-0.013687216128649501,0.010075881184699634,-1.840345337986946
32,100,-0.011363537817184502,0.009549340116791427,-1.8171762592262692
33,100,-0.011132248738754747,0.009309770099611746,-1.7969739884138107
34,100,-0.01053313316474992,0.007322771856302602,-1.7512073947323694
